Comunidades y Ciudades Autónomas;Sexo;Sector económico;Situación profesional;Periodo;Total
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2007T3;534,4
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2007T2;531,3
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2007T1;520,4
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2006T4;520,9
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2006T3;520,1
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2006T2;508,9
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2006T1;485,8
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2005T4;496,1
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2005T3;488,5
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2005T2;486
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2005T1;491,2
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2004T4;471,5
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2004T3;465,1
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2004T2;447,3
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2004T1;445,4
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2003T4;410,7
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2003T3;401,5
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2003T2;399,1
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2003T1;402,6
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2002T4;405,2
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2002T3;403,8
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2002T2;417,6
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2002T1;420,5
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T4;38,6
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T3;42,6
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T2;40,7
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T1;41,3
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T4;41,4
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T3;40,4
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T2;45
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T1;51,5
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T4;49,9
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T3;57,3
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T2;57,1
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T1;62,9
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T4;52,4
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T3;55,4
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T2;64,1
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T1;84,9
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T4;55
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T3;58,8
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T2;52,5
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T1;59,4
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T4;58,7
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T3;48,3
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T2;55,7
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T1;52
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T4;51,8
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T3;57,5
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T2;58,5
01 Andalucía;Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T1;62,3
01 Andalucía;Ambos sexos;Total;Asalariados;2008T4;2.482,3
01 Andalucía;Ambos sexos;Total;Asalariados;2008T3;2.575,5
01 Andalucía;Ambos sexos;Total;Asalariados;2008T2;2.633,9
01 Andalucía;Ambos sexos;Total;Asalariados;2008T1;2.680,9
01 Andalucía;Ambos sexos;Total;Asalariados;2007T4;2.670,9
01 Andalucía;Ambos sexos;Total;Asalariados;2007T3;2.671,6
01 Andalucía;Ambos sexos;Total;Asalariados;2007T2;2.680,1
01 Andalucía;Ambos sexos;Total;Asalariados;2007T1;2.636,4
01 Andalucía;Ambos sexos;Total;Asalariados;2006T4;2.603,6
01 Andalucía;Ambos sexos;Total;Asalariados;2006T3;2.563,2
01 Andalucía;Ambos sexos;Total;Asalariados;2006T2;2.562,7
01 Andalucía;Ambos sexos;Total;Asalariados;2006T1;2.548
01 Andalucía;Ambos sexos;Total;Asalariados;2005T4;2.506,8
01 Andalucía;Ambos sexos;Total;Asalariados;2005T3;2.466,6
01 Andalucía;Ambos sexos;Total;Asalariados;2005T2;2.431,6
01 Andalucía;Ambos sexos;Total;Asalariados;2005T1;2.352,6
01 Andalucía;Ambos sexos;Total;Asalariados;2004T4;2.342,7
01 Andalucía;Ambos sexos;Total;Asalariados;2004T3;2.259
01 Andalucía;Ambos sexos;Total;Asalariados;2004T2;2.249,2
01 Andalucía;Ambos sexos;Total;Asalariados;2004T1;2.233,2
01 Andalucía;Ambos sexos;Total;Asalariados;2003T4;2.230,3
01 Andalucía;Ambos sexos;Total;Asalariados;2003T3;2.205,6
01 Andalucía;Ambos sexos;Total;Asalariados;2003T2;2.202,4
01 Andalucía;Ambos sexos;Total;Asalariados;2003T1;2.147,9
01 Andalucía;Ambos sexos;Total;Asalariados;2002T4;2.092,7
01 Andalucía;Ambos sexos;Total;Asalariados;2002T3;2.054,7
01 Andalucía;Ambos sexos;Total;Asalariados;2002T2;2.099,7
01 Andalucía;Ambos sexos;Total;Asalariados;2002T1;2.038,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2008T4;2,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2008T3;1,6
01 Andalucía;Ambos sexos;Total;Otra situación ;2008T2;1,1
01 Andalucía;Ambos sexos;Total;Otra situación ;2008T1;0,8
01 Andalucía;Ambos sexos;Total;Otra situación ;2007T4;2,5
01 Andalucía;Ambos sexos;Total;Otra situación ;2007T3;0,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2007T2;1,3
01 Andalucía;Ambos sexos;Total;Otra situación ;2007T1;3,5
01 Andalucía;Ambos sexos;Total;Otra situación ;2006T4;1,7
01 Andalucía;Ambos sexos;Total;Otra situación ;2006T3;3,5
01 Andalucía;Ambos sexos;Total;Otra situación ;2006T2;3,6
01 Andalucía;Ambos sexos;Total;Otra situación ;2006T1;4,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2005T4;5,2
01 Andalucía;Ambos sexos;Total;Otra situación ;2005T3;4
01 Andalucía;Ambos sexos;Total;Otra situación ;2005T2;6,2
01 Andalucía;Ambos sexos;Total;Otra situación ;2005T1;5
01 Andalucía;Ambos sexos;Total;Otra situación ;2004T4;6,1
01 Andalucía;Ambos sexos;Total;Otra situación ;2004T3;5,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2004T2;3,6
01 Andalucía;Ambos sexos;Total;Otra situación ;2004T1;5,5
01 Andalucía;Ambos sexos;Total;Otra situación ;2003T4;5,6
01 Andalucía;Ambos sexos;Total;Otra situación ;2003T3;10,4
01 Andalucía;Ambos sexos;Total;Otra situación ;2003T2;2,2
01 Andalucía;Ambos sexos;Total;Otra situación ;2003T1;1,9
01 Andalucía;Ambos sexos;Total;Otra situación ;2002T4;5,4
01 Andalucía;Ambos sexos;Total;Otra situación ;2002T3;9,4
01 Andalucía;Ambos sexos;Total;Otra situación ;2002T2;9,6
01 Andalucía;Ambos sexos;Total;Otra situación ;2002T1;5,4
01 Andalucía;Ambos sexos;Agricultura;Total;2008T4;227,4
01 Andalucía;Ambos sexos;Agricultura;Total;2008T3;203,1
01 Andalucía;Ambos sexos;Agricultura;Total;2008T2;232,6
01 Andalucía;Ambos sexos;Agricultura;Total;2008T1;267
01 Andalucía;Ambos sexos;Agricultura;Total;2007T4;236,6
01 Andalucía;Ambos sexos;Agricultura;Total;2007T3;216,3
01 Andalucía;Ambos sexos;Agricultura;Total;2007T2;241,9
01 Andalucía;Ambos sexos;Agricultura;Total;2007T1;292,2
01 Andalucía;Ambos sexos;Agricultura;Total;2006T4;244,4
01 Andalucía;Ambos sexos;Agricultura;Total;2006T3;230,5
01 Andalucía;Ambos sexos;Agricultura;Total;2006T2;253,5
01 Andalucía;Ambos sexos;Agricultura;Total;2006T1;298,2
01 Andalucía;Ambos sexos;Agricultura;Total;2005T4;287,9
01 Andalucía;Ambos sexos;Agricultura;Total;2005T3;259,2
01 Andalucía;Ambos sexos;Agricultura;Total;2005T2;267,6
01 Andalucía;Ambos sexos;Agricultura;Total;2005T1;278,8
01 Andalucía;Ambos sexos;Agricultura;Total;2004T4;254,4
01 Andalucía;Ambos sexos;Agricultura;Total;2004T3;215
01 Andalucía;Ambos sexos;Agricultura;Total;2004T2;255,8
01 Andalucía;Ambos sexos;Agricultura;Total;2004T1;309,4
01 Andalucía;Ambos sexos;Agricultura;Total;2003T4;283,7
01 Andalucía;Ambos sexos;Agricultura;Total;2003T3;221,1
01 Andalucía;Ambos sexos;Agricultura;Total;2003T2;252,9
01 Andalucía;Ambos sexos;Agricultura;Total;2003T1;294,6
01 Andalucía;Ambos sexos;Agricultura;Total;2002T4;256,1
01 Andalucía;Ambos sexos;Agricultura;Total;2002T3;219,2
01 Andalucía;Ambos sexos;Agricultura;Total;2002T2;275,9
01 Andalucía;Ambos sexos;Agricultura;Total;2002T1;326,9
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2008T4;59,8
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2008T3;59,8
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2008T2;56,3
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2008T1;55
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2007T4;54,9
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2007T3;54,1
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2007T2;56,8
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2007T1;62
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2006T4;62,8
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2006T3;60,3
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2006T2;61,3
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2006T1;62,1
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2005T4;68,5
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2005T3;56,2
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2005T2;56,8
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2005T1;65,6
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2004T4;67,9
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2004T3;69,2
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2004T2;72
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2004T1;71,4
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2003T4;68,9
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2003T3;66,6
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2003T2;66,5
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2003T1;68,5
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2002T4;67,1
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2002T3;68,4
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2002T2;74
01 Andalucía;Ambos sexos;Agricultura;Empresario o miembro de cooperativa;2002T1;77,1
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2008T4;8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2008T3;7,4
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2008T2;4,9
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2008T1;9,7
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2007T4;12
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2007T3;8,7
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2007T2;6,6
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2007T1;14,1
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2006T4;11,6
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2006T3;13,5
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2006T2;14,6
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2006T1;18,8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2005T4;12,4
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2005T3;13,6
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2005T2;18,5
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2005T1;26
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2004T4;14
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2004T3;14,5
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2004T2;15,8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2004T1;22,1
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2003T4;17,8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2003T3;12,8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2003T2;13,8
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2003T1;19,5
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2002T4;16,9
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2002T3;15,2
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2002T2;13,5
01 Andalucía;Ambos sexos;Agricultura;Ayuda en la empresa o negocio familiar;2002T1;21,5
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2008T4;157,8
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2008T3;135,3
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2008T2;170,5
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2008T1;202,1
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2007T4;167,9
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2007T3;152,6
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2007T2;177,7
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2007T1;214,4
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2006T4;169
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2006T3;154,9
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2006T2;176,8
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2006T1;216,7
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2005T4;206,2
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2005T3;187,1
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2005T2;189,8
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2005T1;185,2
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2004T4;171,9
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2004T3;130,3
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2004T2;167,8
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2004T1;214,6
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2003T4;196,2
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2003T3;135,6
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2003T2;172,4
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2003T1;206,3
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2002T4;170,7
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2002T3;135,1
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2002T2;187,7
01 Andalucía;Ambos sexos;Agricultura;Asalariados;2002T1;227,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2008T4;1,9
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2008T3;0,7
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2008T2;0,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2008T1;0,2
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2007T4;1,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2007T3;0,9
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2007T2;0,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2007T1;1,6
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2006T4;1
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2006T3;1,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2006T2;0,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2006T1;0,6
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2005T4;0,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2005T3;2,4
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2005T2;2,4
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2005T1;2
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2004T4;0,6
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2004T3;1
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2004T2;0,2
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2004T1;1,4
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2003T4;0,7
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2003T3;6,1
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2003T2;0,2
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2003T1;0,3
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2002T4;1,4
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2002T3;0,6
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2002T2;0,8
01 Andalucía;Ambos sexos;Agricultura;Otra situación ;2002T1;0,5
01 Andalucía;Ambos sexos;Industria;Total;2008T4;301,5
01 Andalucía;Ambos sexos;Industria;Total;2008T3;309,1
01 Andalucía;Ambos sexos;Industria;Total;2008T2;328,5
01 Andalucía;Ambos sexos;Industria;Total;2008T1;334,6
01 Andalucía;Ambos sexos;Industria;Total;2007T4;333,1
01 Andalucía;Ambos sexos;Industria;Total;2007T3;339,9
01 Andalucía;Ambos sexos;Industria;Total;2007T2;319,6
01 Andalucía;Ambos sexos;Industria;Total;2007T1;319,1
01 Andalucía;Ambos sexos;Industria;Total;2006T4;321,1
01 Andalucía;Ambos sexos;Industria;Total;2006T3;315,5
01 Andalucía;Ambos sexos;Industria;Total;2006T2;312,2
01 Andalucía;Ambos sexos;Industria;Total;2006T1;316,9
01 Andalucía;Ambos sexos;Industria;Total;2005T4;343,6
01 Andalucía;Ambos sexos;Industria;Total;2005T3;337,8
01 Andalucía;Ambos sexos;Industria;Total;2005T2;326,6
01 Andalucía;Ambos sexos;Industria;Total;2005T1;308,7
01 Andalucía;Ambos sexos;Industria;Total;2004T4;309,7
01 Andalucía;Ambos sexos;Industria;Total;2004T3;292
01 Andalucía;Ambos sexos;Industria;Total;2004T2;298,4
01 Andalucía;Ambos sexos;Industria;Total;2004T1;295,4
01 Andalucía;Ambos sexos;Industria;Total;2003T4;302
01 Andalucía;Ambos sexos;Industria;Total;2003T3;299,1
01 Andalucía;Ambos sexos;Industria;Total;2003T2;310,6
01 Andalucía;Ambos sexos;Industria;Total;2003T1;304,7
01 Andalucía;Ambos sexos;Industria;Total;2002T4;294,2
01 Andalucía;Ambos sexos;Industria;Total;2002T3;294,9
01 Andalucía;Ambos sexos;Industria;Total;2002T2;294,4
01 Andalucía;Ambos sexos;Industria;Total;2002T1;290
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2008T4;47,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2008T3;45,8
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2008T2;48,3
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2008T1;48,4
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2007T4;50,6
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2007T3;50,8
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2007T2;44,3
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2007T1;48,5
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2006T4;48,3
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2006T3;44,5
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2006T2;46,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2006T1;43,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2005T4;42,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2005T3;46,3
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2005T2;45,6
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2005T1;41,6
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2004T4;39,6
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2004T3;36,8
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2004T2;39,7
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2004T1;39,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2003T4;40,7
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2003T3;39,2
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2003T2;43,4
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2003T1;44,7
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2002T4;40,1
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2002T3;39,3
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2002T2;37,7
01 Andalucía;Ambos sexos;Industria;Empresario o miembro de cooperativa;2002T1;36,8
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2008T4;2,6
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2008T3;2,7
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2008T2;4
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2008T1;2,8
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2007T4;3,7
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2007T3;3,9
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2007T2;4
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2007T1;4
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2006T4;1,9
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2006T3;2,6
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2006T2;1,7
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2006T1;3,3
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2005T4;2,5
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2005T3;5,1
01 Andalucía;Ambos sexos;Industria;Ayuda en la empresa o negocio familiar;2005T2;5,6
